City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Narsaq,60.92,-46.05,278.15,65,98,5.1,GL,1592448279
Hong Kong,22.29,114.16,304.15,70,20,7.2,HK,1592448081
Barrow,71.29,-156.79,279.15,70,1,5.1,US,1592448279
Pandan,14.05,124.17,303.33,70,100,3.34,PH,1592448280
Upernavik,72.79,-56.15,273.84,91,0,3.46,GL,1592448280
Hasaki,35.73,140.83,298.15,78,75,3.1,JP,1592448280
Alice Springs,-23.7,133.88,291.15,25,0,2.6,AU,1592448280
Gouyave,12.16,-61.73,301.15,78,20,8.2,GD,1592448280
Acajutla,13.59,-89.83,295.93,100,80,1.55,SV,1592448023
Sibolga,1.74,98.78,298.33,82,100,3.3,ID,1592448280
Kulhudhuffushi,6.62,73.07,302.26,79,91,6.2,MV,1592448280
Zhigansk,66.77,123.37,292.34,60,8,1.58,RU,1592448281
Ahipara,-35.17,173.17,288.78,83,11,3.5,NZ,1592448281
Aachen,50.78,6.08,288.15,93,100,0.45,DE,1592448280
Gorontalo,0.54,123.06,304.06,63,89,3.68,ID,1592448281
Esperance,-33.87,121.9,286.15,71,40,8.7,AU,1592448281
Alekseyevka,50.63,38.69,290.16,77,6,2.98,RU,1592448281
Caravelas,-17.71,-39.25,295.02,75,28,3.38,BR,1592448281
Lebanon,36.21,-86.29,296.15,69,90,2.65,US,1592448281
Arman',59.7,150.17,285.74,71,9,3.98,RU,1592448282
Vardø,70.37,31.11,281.31,77,3,3.75,NO,1592448282
Zhangye,38.93,100.45,303.51,13,93,3.92,CN,1592448282
Te Anau,-45.42,167.72,279.23,68,10,3.38,NZ,1592448282
Emerald,-23.53,148.17,296.15,46,0,4.6,AU,1592448282
Ribeira Grande,38.52,-28.7,290.26,78,95,3.38,PT,1592448282
Mataura,-46.19,168.86,280.3,75,0,1.38,NZ,1592448282
Quatre Cocos,-20.21,57.76,294.15,83,75,8.2,MU,1592448282
Fort Nelson,58.81,-122.7,291.15,68,40,3.6,CA,1592448184
Petropavlovsk-Kamchatskiy,53.05,158.65,285.15,76,29,8.0,RU,1592448282
Kahului,20.89,-156.47,305.15,43,40,8.2,US,1592448282
Gostovići,44.41,18.16,289.15,93,75,1.0,BA,1592448283
Vila Velha,-20.33,-40.29,292.59,93,75,2.1,BR,1592448283
Geraldton,-28.77,114.6,292.15,55,40,9.8,AU,1592448283
Malanje,-9.54,16.34,285.58,59,3,2.33,AO,1592448283
Valdivia,-39.81,-73.25,284.15,81,75,5.7,CL,1592448230
Makakilo City,21.35,-158.09,303.15,51,75,3.1,US,1592448283
Oktyabr'skoye,43.06,44.74,291.15,93,100,2.0,RU,1592448284
Brae,60.4,-1.35,285.15,93,55,2.6,GB,1592448133
Taoudenni,22.68,-3.98,308.85,14,0,7.32,ML,1592448284
Cedeno,7.05,-72.16,295.04,80,65,1.08,CO,1592448284
Kanhangad,12.31,75.11,299.45,85,100,2.54,IN,1592448284
Benguela,-12.58,13.41,293.97,68,0,0.72,AO,1592448284
Cherskiy,68.75,161.3,300.46,23,82,2.55,RU,1592448284
Saint-François,46.42,3.91,285.15,81,8,0.5,FR,1592448284
Norman Wells,65.28,-126.83,303.15,23,75,2.6,CA,1592448285
Ancud,-41.87,-73.82,283.15,87,90,9.8,CL,1592448285
Moerai,-22.43,-151.33,295.79,82,91,13.54,PF,1592448285
Sioux Lookout,50.1,-91.92,300.15,54,20,3.6,CA,1592448126
Xixiang,35.16,112.86,301.73,42,0,1.11,CN,1592448285
Ola,59.58,151.28,283.23,84,100,3.49,RU,1592448285
Puerto Ayora,-0.74,-90.35,293.71,93,71,0.45,EC,1592448285
Verkh-Usugli,52.7,115.17,293.72,34,1,2.57,RU,1592448285
Klaksvík,62.23,-6.59,282.15,100,100,2.1,FO,1592448286
Kavarna,43.43,28.33,290.15,100,19,0.5,BG,1592448091
Pemangkat,1.17,108.97,302.62,69,93,1.25,ID,1592448286
Norsup,-16.07,167.38,300.15,83,90,4.1,VU,1592448286
Yeppoon,-23.13,150.73,297.15,44,100,7.7,AU,1592448286
Zyryanka,65.75,150.85,302.8,26,44,1.8,RU,1592448286
Castro,-24.79,-50.01,285.68,96,51,2.24,BR,1592448286
Aklavik,68.22,-135.01,291.15,59,75,3.6,CA,1592448286
Tuatapere,-46.13,167.68,280.72,69,5,2.67,NZ,1592448286
Riyadh,24.69,46.72,300.15,24,39,2.1,SA,1592448007
Pirojpur,22.57,89.98,301.06,83,100,4.66,BD,1592448287
Rawson,-43.3,-65.1,283.82,47,95,4.15,AR,1592448287
Yārāda,17.65,83.27,301.15,83,90,2.6,IN,1592448287
Wewak,-3.55,143.63,301.96,70,2,3.63,PG,1592448287
Onega,63.91,38.14,284.92,61,0,2.08,RU,1592448287
Olafsvik,64.89,-23.71,281.88,79,100,6.62,IS,1592448287
Nayāgarh,20.13,85.1,300.42,79,100,1.51,IN,1592448188
Nouadhibou,20.93,-17.03,299.15,54,2,8.7,MR,1592448288
Henties Bay,-22.12,14.28,296.48,31,0,0.89,NA,1592448288
Terrace,54.52,-128.6,292.15,45,90,9.3,CA,1592448288
Zhmerynka,49.04,28.11,288.71,93,50,2.68,UA,1592448288
Kortkeros,61.81,51.58,283.15,71,0,3.0,RU,1592448288
Bubaque,11.28,-15.83,299.93,87,67,6.15,GW,1592448288
Listvyagi,53.68,86.95,293.83,60,99,6.08,RU,1592448288
Viedma,-40.81,-63.0,280.81,85,15,1.25,AR,1592448288
Kristiansund,63.11,7.73,286.15,93,47,1.0,NO,1592448289
Port Hedland,-20.32,118.57,299.15,50,0,4.1,AU,1592448289
Port Hardy,50.7,-127.42,288.15,72,75,3.6,CA,1592448126
Yazman,29.12,71.74,310.49,27,0,8.72,PK,1592448289
Kruisfontein,-34.0,24.73,285.06,41,0,3.49,ZA,1592448289
Alofi,-19.06,-169.92,298.15,57,40,8.2,NU,1592448289
Stadtallendorf,50.83,9.02,288.71,81,99,3.42,DE,1592448289
San Patricio,19.22,-104.7,299.44,66,0,1.82,MX,1592448289
Clyde River,70.47,-68.59,273.15,89,90,3.6,CA,1592448289
Itarema,-2.92,-39.92,297.56,88,19,4.79,BR,1592448290
Seoul,37.57,126.98,297.15,73,100,1.0,KR,1592448104
Winona,43.97,-91.77,296.15,60,1,4.82,US,1592448290
Saint-Leu,-21.15,55.28,292.15,82,40,4.6,RE,1592448290
São Filipe,14.9,-24.5,298.16,76,0,3.4,CV,1592448290
Ilulissat,69.22,-51.1,275.15,80,0,2.1,GL,1592448290
Kalabo,-14.97,22.68,281.98,73,0,2.76,ZM,1592448290
Malé,4.17,73.51,301.9,79,47,3.79,MV,1592448118
Cabo San Lucas,22.89,-109.91,305.15,25,40,8.2,MX,1592448290
Salalah,17.02,54.09,302.15,89,75,2.1,OM,1592448291
Meulaboh,4.14,96.13,302.25,63,91,0.88,ID,1592448291
Mehamn,71.04,27.85,283.88,64,93,3.25,NO,1592448291
Inuvik,68.35,-133.72,291.15,59,75,3.6,CA,1592448291
Mazamari,-11.33,-74.53,294.49,81,61,0.22,PE,1592448291
Rome,43.21,-75.46,292.15,59,1,1.37,US,1592448144
Kysyl-Syr,63.9,122.76,299.17,43,10,3.99,RU,1592448291
Shelburne,44.08,-80.2,292.04,67,1,1.52,CA,1592448292
Andenes,69.31,16.12,282.15,87,32,3.6,NO,1592448292
Hambantota,6.12,81.12,300.15,100,40,3.6,LK,1592448292
Dingle,11.0,122.67,304.67,61,100,2.35,PH,1592448292
Yangi Marg`ilon,40.43,71.72,296.15,31,95,3.1,UZ,1592448292
Tres Arroyos,-38.37,-60.28,285.84,92,100,5.99,AR,1592448292
Brewster,41.4,-73.62,292.15,88,20,2.1,US,1592448292
Sarishābāri,24.73,89.83,302.21,78,78,5.95,BD,1592448292
Sunbury,-37.58,144.73,288.71,62,40,10.3,AU,1592448103
Nanortalik,60.14,-45.24,276.4,84,63,3.75,GL,1592448293
Nishihara,26.18,127.76,304.15,74,75,9.3,JP,1592448293
Ponta Delgada,37.73,-25.67,290.15,72,40,2.1,PT,1592448293
Korla,41.76,86.15,302.65,17,41,2.5,CN,1592448293
Faanui,-16.48,-151.75,300.82,73,98,0.54,PF,1592448293
Maiduguri,11.85,13.16,300.09,59,89,3.37,NG,1592448293
Kinshasa,-4.32,15.32,294.53,71,8,1.11,CD,1592448119
Antalaha,-14.9,50.28,294.14,78,86,5.16,MG,1592448294
Paita,-5.09,-81.11,292.05,80,7,4.15,PE,1592448294
Charyshskoye,51.4,83.56,293.89,53,67,5.34,RU,1592448294
Lebu,-37.62,-73.65,284.88,81,100,11.2,CL,1592448294
Abashiri,44.02,144.27,292.15,68,75,4.1,JP,1592448294
Paamiut,61.99,-49.67,276.06,80,94,1.21,GL,1592448294
Mangan,27.52,88.53,299.47,54,100,1.11,IN,1592448294
Chhātak,25.03,91.67,299.86,89,99,3.54,BD,1592448294
Yukamenskoye,57.89,52.24,283.29,64,0,2.83,RU,1592448294
Sisimiut,66.94,-53.67,275.28,84,75,3.44,GL,1592448295
Batagay,67.63,134.63,300.88,24,17,4.61,RU,1592448295
Sola,-13.88,167.55,300.21,81,93,11.38,VU,1592448295
Hithadhoo,-0.6,73.08,302.04,75,9,3.24,MV,1592448295
Cockburn Town,21.46,-71.14,300.75,81,0,8.31,TC,1592448295
Port Lincoln,-34.73,135.87,290.32,52,100,8.61,AU,1592448295
Mangochi,-14.48,35.26,288.49,86,16,3.4,MW,1592448296
Pesaro,43.9,12.89,291.48,69,0,0.89,IT,1592448296
Dinghaicun,26.28,119.79,304.15,74,86,8.0,CN,1592448296
Tougue,11.47,-11.6,292.79,86,100,2.6,GN,1592448296
Yiyang,28.59,112.33,295.24,89,100,2.46,CN,1592448296
Yenangyaung,20.47,94.88,299.61,82,100,6.93,MM,1592448296
Cabedelo,-6.98,-34.83,296.98,84,13,5.14,BR,1592448296
Yar-Sale,66.83,70.83,278.08,66,53,6.45,RU,1592448296
Lázaro Cárdenas,17.96,-102.2,299.93,75,0,2.48,MX,1592448296
Kenai,60.55,-151.26,291.15,42,1,8.2,US,1592448296
Salto,-31.38,-57.97,295.37,74,100,6.26,UY,1592448272
Peno,56.93,32.74,291.8,84,76,1.54,RU,1592448297
Makokou,0.57,12.86,294.0,97,100,1.7,GA,1592448297
Charters Towers,-20.1,146.27,294.26,70,100,6.2,AU,1592448297
Camargo,27.67,-105.17,299.2,35,75,2.22,MX,1592448297
Belém de São Francisco,-8.75,-38.97,292.94,86,0,3.69,BR,1592448297
Asău,46.43,26.4,287.59,95,18,1.2,RO,1592448297
Worthington,40.09,-83.02,294.26,68,1,2.6,US,1592448297
Alyangula,-13.85,136.42,302.15,58,40,5.1,AU,1592448297
Zarand,30.81,56.56,300.55,14,10,1.31,IR,1592448298
Zheleznodorozhnyy,55.75,38.0,294.82,93,9,1.5,RU,1592448298
Turlock,37.49,-120.85,303.15,16,1,4.6,US,1592448298
Madera,37.17,-119.83,299.26,27,0,0.89,US,1592448021
Goedereede,51.82,3.98,289.82,96,100,5.92,NL,1592448298
Onguday,50.75,86.15,287.83,76,100,2.01,RU,1592448298
Dobrinka,52.17,40.47,292.11,84,0,2.01,RU,1592448298
Atwater,37.35,-120.61,303.15,17,1,4.1,US,1592448298
Odesskoye,54.21,72.97,286.01,86,81,6.72,RU,1592448299
Ayagoz,47.97,80.44,289.55,63,93,8.36,KZ,1592448299
Ikon-Khalk,44.31,41.91,288.71,9,100,2.68,RU,1592448299
Plettenberg Bay,-34.05,23.37,288.65,49,0,3.43,ZA,1592448299
Russellville,35.28,-93.13,296.48,73,1,1.71,US,1592448070
Fortuna,40.6,-124.16,288.71,87,1,4.6,US,1592448299
Hauterive,46.09,3.45,285.15,100,90,1.0,FR,1592448163
Avarua,-21.21,-159.78,297.15,64,4,3.6,CK,1592448299
Orzhytsya,49.79,32.7,291.41,94,72,2.36,UA,1592448299
Togitsu,32.83,129.85,300.15,88,75,6.7,JP,1592448300
Kalmunai,7.42,81.82,302.51,68,99,1.75,LK,1592448300
Souillac,-20.52,57.52,294.15,83,75,8.2,MU,1592448300
Saskylakh,71.92,114.08,288.59,63,86,5.12,RU,1592448300
Lata,40.16,-8.33,288.71,88,20,2.24,PT,1592448300
Belaya Gora,68.53,146.42,304.62,19,31,3.57,RU,1592448300
Hatsukaichi,34.35,132.33,292.59,88,90,3.1,JP,1592448300
Knyaginino,55.82,45.03,288.86,95,100,4.35,RU,1592448300
Chui,-33.7,-53.46,292.45,80,100,6.93,UY,1592448301
Lagoa,39.05,-27.98,290.18,79,94,3.17,PT,1592448301
Hvolsvollur,63.75,-20.22,278.71,89,100,2.24,IS,1592448301
Half Moon Bay,37.46,-122.43,299.15,72,1,3.6,US,1592448301
Porto Walter,-8.27,-72.74,297.21,75,26,0.42,BR,1592448301
Saint George,37.1,-113.58,304.15,15,1,5.1,US,1592448301
Nome,64.5,-165.41,297.04,71,20,5.7,US,1592448302
Muscat,23.61,58.59,305.15,89,100,2.6,OM,1592448302
Faya,18.39,42.45,297.15,28,85,5.3,SA,1592448302
Bodden Town,19.28,-81.25,301.48,80,100,4.02,KY,1592448302
Marzuq,14.4,46.47,300.92,20,39,2.11,YE,1592448302
Guerrero Negro,27.98,-114.06,290.76,82,0,7.22,MX,1592448302
Nueva Loja,0.08,-76.88,294.67,97,98,0.32,EC,1592448303
Boende,-0.22,20.87,293.44,65,96,0.67,CD,1592448303
Olinda,-8.01,-34.86,298.15,88,75,5.1,BR,1592448303
Angoche,-16.23,39.91,293.56,91,16,5.06,MZ,1592448303
Nanyang,32.99,112.53,300.18,58,17,2.2,CN,1592448303
Yabēlo,4.88,38.08,286.79,94,88,2.91,ET,1592448303
Bacon,13.04,124.04,303.1,70,99,3.51,PH,1592448303
Sambir,49.52,23.2,289.26,84,46,1.85,UA,1592448304
Trofors,65.53,13.41,286.15,87,88,4.6,NO,1592448304
Cuamba,-14.8,36.54,288.78,85,61,3.12,MZ,1592448304
Leirvik,59.78,5.5,287.59,90,6,0.6,NO,1592448304
Banjarmasin,-3.32,114.59,304.2,64,47,3.04,ID,1592448304
Margate,51.38,1.39,288.71,99,100,0.45,GB,1592448304
Kiama,-34.68,150.87,289.82,68,83,0.89,AU,1592448304
Benjamin Constant,-4.38,-70.03,298.15,100,40,1.0,BR,1592448304
San Rafael del Sur,11.85,-86.44,300.15,83,75,2.1,NI,1592448304
Kidal,18.44,1.41,306.22,12,0,5.08,ML,1592448304
Linxia Chengguanzhen,35.6,103.21,295.62,37,44,1.29,CN,1592448304
Nouakchott,18.09,-15.98,305.81,29,0,8.1,MR,1592448038
Severo-Kuril'sk,50.68,156.12,281.15,82,89,2.96,RU,1592448305
Matagami,49.75,-77.63,299.15,50,1,2.6,CA,1592448305
Balakhta,55.38,91.6,291.34,65,17,1.76,RU,1592448305
Nahariya,33.01,35.09,296.94,65,0,2.69,IL,1592448305
Bintulu,3.17,113.03,300.15,88,75,2.1,MY,1592448305
Gongzhuling,43.5,124.82,300.37,40,97,5.59,CN,1592448305
Grimshaw,56.18,-117.6,288.15,82,75,3.6,CA,1592448305
Leningradskiy,69.38,178.42,283.86,49,100,4.4,RU,1592448305
Khandyga,62.67,135.6,302.09,28,100,1.24,RU,1592448306
Eyl,7.98,49.82,301.3,55,10,12.52,SO,1592448306
Inyonga,-6.72,32.07,285.01,76,1,2.0,TZ,1592448306
Laguna,38.42,-121.42,304.15,16,1,6.7,US,1592448306
Byron Bay,-28.65,153.62,293.15,72,75,6.7,AU,1592448274
Orlik,52.52,99.83,292.96,37,14,0.24,RU,1592448306
Anloga,5.79,0.9,299.15,88,40,3.6,GH,1592448306
Broome,42.25,-75.83,294.15,40,1,2.1,US,1592448306
Kiryat Gat,31.61,34.76,297.04,56,0,0.82,IL,1592448307
Berlevåg,70.86,29.09,283.25,67,89,3.83,NO,1592448307
Russell,32.35,-85.2,297.15,88,90,0.49,US,1592448307
Huanuni,-18.27,-66.85,276.83,62,3,2.02,BO,1592448307
Bathsheba,13.22,-59.52,301.15,69,20,8.2,BB,1592448307
Seddon,-37.81,144.89,289.82,67,57,7.7,AU,1592448307
Sitka,57.05,-135.33,284.15,93,90,2.6,US,1592448307
Mountain Home,43.13,-115.69,292.15,39,1,8.2,US,1592448307
Zhezkazgan,47.8,67.71,293.15,34,0,3.0,KZ,1592448308
Vostok,46.49,135.88,285.9,88,97,1.39,RU,1592448308
Aranos,-24.13,19.12,280.88,56,0,4.61,NA,1592448308
Wakkanai,45.41,141.67,284.15,93,75,5.7,JP,1592448308
Ankang,32.68,109.02,297.59,18,91,4.02,CN,1592448308
Ostrovnoy,68.05,39.51,281.89,70,29,4.7,RU,1592448308
Suntar,62.14,117.63,284.63,94,100,2.63,RU,1592448308
Saint Paul Harbor,57.79,-152.41,284.15,87,90,8.2,US,1592448308
Ormara,25.21,64.64,302.46,80,35,2.35,PK,1592448309
Ushtobe,45.25,77.98,293.69,43,0,7.84,KZ,1592448309
Mbuguni,-3.57,36.95,288.01,84,10,1.61,TZ,1592448309
Shakiso,5.75,38.92,288.0,91,100,1.66,ET,1592448309
Araouane,18.9,-3.53,307.58,10,97,6.58,ML,1592448309
Tabou,4.42,-7.35,297.99,87,98,4.77,CI,1592448309
Banjar,-8.19,114.97,302.15,89,75,8.7,ID,1592448309
Matara,5.95,80.54,301.4,82,95,4.32,LK,1592448309
Karratha,-20.74,116.85,300.14,32,0,2.01,AU,1592448309
Huarmey,-10.07,-78.15,290.09,85,60,3.84,PE,1592448310
Vila Franca do Campo,37.72,-25.43,290.15,72,40,2.1,PT,1592448310
Bertoua,4.58,13.68,292.63,98,100,1.35,CM,1592448310
Zeya,53.75,127.27,296.35,33,11,2.02,RU,1592448310
Mouila,-1.87,11.06,294.58,94,100,0.68,GA,1592448310
Rundu,-17.93,19.77,281.12,72,0,2.28,NA,1592448310
Gilbués,-9.83,-45.34,296.22,58,85,2.59,BR,1592448310
Poum,-20.23,164.02,297.04,76,100,6.54,NC,1592448310
Gizo Government Station,-8.1,156.84,301.96,77,53,6.2,SB,1592448310
Ust'-Koksa,50.27,85.61,289.18,63,87,2.04,RU,1592448310
Pirovskoye,57.63,92.27,292.48,49,0,5.67,RU,1592448310
Shar,49.59,81.05,292.32,58,68,5.77,KZ,1592448311
Puerto Gaitán,4.31,-72.08,297.89,88,84,0.82,CO,1592448311
Narovchat,53.88,43.69,291.8,87,0,2.92,RU,1592448311
‘Ewa Beach,21.32,-158.01,303.15,51,75,3.1,US,1592448146
Limulunga,-15.1,23.14,282.13,72,0,2.53,ZM,1592448311
Jasper,37.2,-94.35,300.15,57,1,3.1,US,1592448311
Yuxia,34.06,108.63,298.71,73,0,3.0,CN,1592448311
Villa Carlos Paz,-31.42,-64.5,285.37,54,68,4.6,AR,1592448311
Lodja,-3.48,23.43,290.28,52,93,0.76,CD,1592448312
Ha Tinh,18.33,105.9,306.89,52,0,2.42,VN,1592448312
San Policarpo,12.18,125.51,302.36,76,100,2.83,PH,1592448312
Fairbanks,64.84,-147.72,298.15,25,1,5.7,US,1592448312
Darnah,32.77,22.64,294.62,61,0,6.8,LY,1592448312
Severodvinsk,64.56,39.83,283.15,76,0,2.37,RU,1592448312
Liberal,37.04,-100.92,304.15,35,1,11.8,US,1592448312
Kavieng,-2.57,150.8,303.28,65,26,3.04,PG,1592448313
Mahon,39.89,4.27,293.15,94,0,2.1,ES,1592448275
